username,platform,content_type,category,country,influencer_tier,followers,following,posts,avg_likes,avg_comments,avg_shares,avg_views,engagement_rate,date_joined
sylvia98894,Twitter,Carousel,Beauty,Mexico,Micro,95175,25004,4381,2406,127.0,137.0,0,3.38,2024-05-14
haleykevin926,Facebook,Video,Sports,USA,Nano,5708,5291,816,695,65.0,28.0,0,9.38,2023-11-03
whitejason247,Instagram,Video,Beauty,India,Nano,7141,1492,1485,566,25.0,21.0,0,8.27,2024-11-30
jimmy80602,Twitter,Story,Tech,Brazil,Micro,43289,18950,3821,88,7.0,6.0,0,0.21,2023-12-20
ellisjeremy406,TikTok,Live,Gaming,Germany,Micro,49599,23624,4695,2410,140.0,105.0,14089,5.93,2024-11-05
cochranlogan698,TikTok,Video,Sports,India,Mega,9333700,14452,2896,424391,46807.0,27289.0,2445095,3.79,2024-11-06
jmiller544,YouTube,Live,Food,India,Micro,67779,49086,2686,2371,133.0,45.0,32993,4.86,2024-01-10
madisonlee742,Facebook,Carousel,Tech,Germany,Mega,9084065,30792,953,290787,14398.0,20624.0,0,2.5,2024-11-23
lisa61240,Twitter,Story,Beauty,USA,Macro,114594,38409,2157,1308,42.0,46.0,0,1.33,2024-11-22
rhondafranklin505,Twitter,Video,Sports,Canada,Micro,89964,42648,2485,4368,114.0,295.0,0,5.83,2023-11-08
barbaramurphy102,Instagram,Video,Travel,Canada,Nano,8432,6966,4435,780,89.0,45.0,0,10.03,2024-11-01
gstephens368,Twitter,Story,Gaming,Germany,Nano,7070,913,2981,249,16.0,6.0,0,4.25,2024-10-22
lkemp211,Instagram,Reel,Fitness,Brazil,Mega,8628891,3414,184,123782,5101.0,6778.0,0,1.9,2024-08-01
laura95818,Instagram,Story,Travel,Mexico,Nano,4817,2371,33,184,6.0,13.0,0,4.28,2023-09-14
gjenkins526,YouTube,Video,Fashion,UK,Nano,4898,4409,3458,333,7.0,9.0,1505,6.46,2024-01-06
jhardin437,Facebook,Video,Education,Canada,Nano,1710,1038,2480,205,22.0,11.0,0,10.59,2024-02-16
pateljohn465,Instagram,Reel,Education,USA,Macro,437758,36037,4805,15571,413.0,455.0,0,3.34,2023-10-29
achoi409,Facebook,Story,Gaming,USA,Macro,219971,28285,1771,1439,122.0,91.0,0,0.54,2024-04-09
edward13832,Twitter,Live,Food,France,Micro,97177,4499,3895,4194,483.0,243.0,0,5.06,2024-01-17
seanjones592,YouTube,Story,Fashion,Mexico,Mega,6530541,47355,3474,7196,439.0,512.0,102856,0.1,2023-04-17
ksimmons629,Facebook,Image,Tech,Australia,Nano,2773,2451,2292,90,6.0,1.0,0,3.58,2024-09-28
murphydeborah759,Facebook,Video,Sports,Germany,Nano,5477,1586,60,616,31.0,20.0,0,10.03,2023-05-26
xgraham51,Instagram,Video,Music,Brazil,Micro,69460,39174,4659,5258,299.0,318.0,0,8.37,2024-09-24
cwheeler684,Instagram,Carousel,Education,Japan,Micro,67939,28274,2837,2152,89.0,98.0,0,3.34,2024-06-23
katie23133,TikTok,Video,Travel,Japan,Mega,1919088,19069,2103,16091,806.0,,74771,1.19,2023-06-29
whitetiffany440,Twitter,Story,Travel,Canada,Micro,97562,28688,356,1212,,85.0,0,1.05,2024-08-12
pdixon411,Facebook,Reel,Gaming,Germany,Nano,1341,841,3779,167,6.0,12.0,0,9.74,2024-08-26
jlee835,Facebook,Video,Gaming,Germany,Macro,332335,34873,944,11932,439.0,545.0,0,3.99,2024-10-22
christopherstrong659,YouTube,Image,Food,UK,Nano,3842,2000,4057,130,12.0,7.0,666,3.2,2024-08-01
patricia00378,Facebook,Carousel,Beauty,UK,Micro,71462,23164,470,3159,158.0,92.0,0,4.58,2023-02-28
alexandra32981,TikTok,Video,Food,Mexico,Micro,60394,37564,3694,3967,299.0,259.0,54548,6.72,2023-06-04
glewis397,Instagram,Reel,Food,France,Mega,2414808,28897,3596,75305,2805.0,2058.0,0,3.11,2023-10-17
dmccarthy895,Twitter,Carousel,Sports,India,Macro,778748,18721,3176,9259,490.0,454.0,0,1.32,2024-09-09
chelseaburgess687,YouTube,Carousel,Food,Mexico,Micro,55851,20388,704,1766,151.0,99.0,8030,3.57,2023-05-11
mendezeric520,Facebook,Video,Gaming,Canada,Micro,57526,12683,3993,3121,359.0,105.0,0,6.13,2023-04-14
bmartinez993,Facebook,Live,Music,India,Micro,91006,47363,1366,2260,130.0,48.0,0,3.19,2023-09-01
hdiaz797,Twitter,Story,Fitness,Australia,Nano,4918,3113,1599,120,12.0,5.0,0,2.76,2023-10-16
bennetttammy292,Twitter,Story,Music,Japan,Mega,4350371,24427,3946,43662,1477.0,1200.0,0,0.85,2023-05-08
richardfarmer242,Instagram,Image,Fitness,Australia,Mega,3472100,23010,3705,36207,1056.0,2669.0,0,0.87,2024-01-18
byrdkristen778,Twitter,Video,Beauty,Brazil,Nano,2623,256,1137,294,24.0,19.0,0,9.32,2023-05-23
jessegregory49,Twitter,Reel,Sports,India,Mega,1318832,34688,4997,2814,291.0,136.0,0,0.25,2023-05-05
joelpennington192,YouTube,Reel,Sports,Australia,Nano,9189,4872,1186,791,17.0,36.0,4669,8.14,2024-03-02
andrea27366,Instagram,Story,Beauty,USA,Mega,9511546,2953,3861,14489,1025.0,165.0,0,0.13,2023-01-17
melissa98647,Instagram,Carousel,Travel,USA,Macro,870899,42226,2783,12060,402.0,418.0,0,1.2,2024-05-05
burgesskimberly196,YouTube,Image,Food,Australia,Nano,4302,3362,4232,114,4.0,1.0,1618,3.65,2024-10-24
jenna38274,TikTok,Carousel,Fashion,France,Nano,7029,1630,2787,422,25.0,17.0,6109,6.24,2024-06-15
ashley05360,Instagram,Live,Gaming,USA,Micro,33652,20186,2431,2492,129.0,38.0,0,7.21,2024-03-30
tfuentes147,Twitter,Video,Beauty,Mexico,Mega,5606274,23909,3337,143987,14275.0,2017.0,0,2.37,2023-02-01
emilypreston455,Facebook,Live,Education,India,Nano,4866,365,4656,426,24.0,15.0,0,7.51,2024-01-16
cruzsteven721,Instagram,Story,Tech,Canada,Micro,51207,32805,1534,870,39.0,15.0,0,1.56,2023-09-24
sydney49684,Twitter,Image,Sports,Germany,Micro,74382,46851,1424,207,6.0,3.0,0,0.34,2023-11-24
petersonscott810,TikTok,Live,Food,Canada,Micro,49315,33441,2971,2937,267.0,220.0,31286,4.92,2023-08-31
davidwilliams421,Twitter,Video,Beauty,Canada,Micro,71263,4408,716,5619,422.0,296.0,0,6.67,2024-06-22
miguelbrown933,Twitter,Story,Food,UK,Mega,2244282,42029,4526,76192,6705.0,2599.0,0,3.5,2024-05-29
madison56282,Instagram,Video,Music,UK,Micro,31229,29424,4260,1777,161.0,60.0,0,6.37,2024-07-18
kyle5984,YouTube,Live,Fitness,Mexico,Micro,75873,22226,4967,4369,345.0,221.0,22082,5.31,2023-01-30
traceyjames305,Instagram,Live,Sports,Germany,Micro,84991,19083,4479,3964,332.0,177.0,0,4.91,2024-02-20
ericashaw528,Twitter,Video,Fashion,UK,Micro,73471,48216,2625,3738,201.0,74.0,0,5.2,2024-01-15
xvelasquez957,Facebook,Video,Beauty,Brazil,Micro,45058,40429,3156,3482,118.0,47.0,0,7.97,2023-12-02
nicholas32221,Facebook,Live,Beauty,Brazil,Macro,622469,1618,4084,29077,1938.0,2080.0,0,3.6,2023-09-04
jgraham53,Facebook,Carousel,Fashion,India,Nano,8710,4433,1107,509,10.0,8.0,0,6.71,2024-02-15
aconner572,Facebook,Story,Travel,France,Micro,19637,4316,983,102,6.0,4.0,0,0.56,2023-12-14
trevor94327,TikTok,Image,Travel,Mexico,Micro,75546,30049,4264,2363,56.0,141.0,29886,4.32,2024-09-19
lindadavis816,YouTube,Reel,Sports,Germany,Micro,76494,24240,146,3900,285.0,232.0,25730,4.26,2023-11-12
robert58196,Instagram,Story,Education,Germany,Mega,4817541,9784,3124,67673,5302.0,1484.0,0,1.24,2023-04-23
mark80539,Instagram,Reel,Beauty,Japan,Nano,4340,1231,520,462,45.0,34.0,0,11.27,2024-05-04
rmeyer231,Twitter,Carousel,Tech,Australia,Mega,6743294,40081,2175,7623,667.0,539.0,0,0.11,2023-11-02
benjamin00978,TikTok,Carousel,Travel,Australia,Micro,55718,44443,4707,1893,214.0,114.0,12216,3.28,2023-12-20
smclaughlin631,YouTube,Carousel,Fashion,Germany,Mega,2325893,35396,1665,29983,1926.0,838.0,262319,1.42,2023-04-22
gregory57952,Facebook,Image,Travel,India,Micro,79604,47112,2715,1356,58.0,23.0,0,2.04,2024-07-17
sanchezjuan428,YouTube,Reel,Education,Australia,Micro,47649,15318,4713,1735,146.0,127.0,7067,4.08,2023-06-29
ebony57872,YouTube,Video,Gaming,Australia,Nano,5742,2431,2754,681,14.0,33.0,2919,9.68,2023-05-18
tammyromero180,Facebook,Reel,Fitness,Brazil,Macro,446747,1023,1535,7018,462.0,196.0,0,1.97,2023-07-17
mbrown772,Facebook,Live,Gaming,Japan,Micro,21368,10703,3921,1109,32.0,,0,5.52,2024-04-02
gavinthompson707,TikTok,Carousel,Fitness,Mexico,Macro,111991,20206,3822,1017,56.0,26.0,11200,1.06,2023-11-15
rachelsnyder822,Instagram,Live,Fitness,France,Micro,38721,24585,4972,3360,227.0,140.0,0,6.81,2024-07-04
alexander35453,YouTube,Image,Sports,USA,Micro,79228,33227,4496,1511,42.0,74.0,5652,1.7,2024-06-16
amberkemp741,Instagram,Live,Travel,Mexico,Micro,76895,30036,3413,3391,86.0,65.0,0,4.56,2023-11-12
lisa57294,Instagram,Reel,Fitness,India,Macro,706403,4048,4443,22173,1382.0,1308.0,0,4.22,2023-02-02
mberg122,Twitter,Image,Tech,Japan,Micro,60132,44843,667,675,75.0,24.0,0,1.16,2023-12-23
zblack159,YouTube,Story,Gaming,Canada,Nano,4648,3574,4470,149,14.0,11.0,1274,2.67,2023-12-21
catherine97251,TikTok,Image,Food,India,Macro,539605,6712,561,17362,1972.0,1254.0,102227,3.01,2023-02-19
woodthomas310,Instagram,Reel,Education,Brazil,Micro,17398,10549,4729,547,65.0,14.0,0,4.01,2023-08-31
yolandagutierrez391,YouTube,Live,Music,Brazil,Micro,46064,36528,3509,1754,201.0,125.0,24448,5.17,2024-11-18
jgonzalez576,Facebook,Carousel,Gaming,Japan,Nano,7167,2563,1856,352,25.0,9.0,0,6.07,2023-03-01
fmorrison387,Twitter,Reel,Music,Canada,Nano,4978,3139,3694,406,21.0,6.0,0,9.58,2023-10-02
schmidtjulia937,Facebook,Story,Fashion,USA,Nano,4555,1835,135,41,4.0,1.0,0,0.92,2024-05-05
hudsonjohn823,YouTube,Live,Sports,Brazil,Micro,41369,20312,2953,1437,140.0,52.0,13513,3.37,2023-04-11
margaretsmith201,Twitter,Carousel,Travel,France,Micro,15992,9165,2146,761,32.0,15.0,0,4.59,2023-06-06
monica44174,TikTok,Image,Gaming,Mexico,Macro,623555,47519,4012,11565,1322.0,388.0,140634,1.8,2023-12-27
youngamy70,YouTube,Live,Music,Australia,Nano,9882,894,618,959,110.0,44.0,12533,7.5,2023-08-25
maldonadotimothy740,YouTube,Video,Travel,,Micro,17923,615,4006,1347,,71.0,11851,7.02,2024-06-26
mosleydeborah274,TikTok,Story,Fitness,India,Micro,98346,9858,4305,782,89.0,17.0,10960,0.83,2023-12-29
amyzavala653,Twitter,Video,Beauty,Japan,Micro,41877,2176,670,3728,158.0,215.0,0,6.88,2023-02-27
madison36487,Instagram,Live,Tech,USA,Micro,66873,34713,791,3852,204.0,302.0,0,5.3,2024-08-03
yfranklin307,TikTok,Video,Food,Germany,Macro,690882,38571,1707,20725,786.0,1441.0,66069,2.74,2023-03-20
darlene26859,YouTube,Story,Travel,Mexico,Macro,508060,32919,652,17647,1306.0,650.0,209592,3.14,2023-08-26
ulevine697,Instagram,Carousel,Sports,Mexico,Mega,7655572,32252,3700,182456,9604.0,9923.0,0,1.86,2023-07-10
emoreno370,Facebook,Live,Gaming,USA,Macro,409727,25003,1273,6134,560.0,96.0,0,1.27,2023-11-21
katieparker96,Instagram,Video,Fashion,Germany,Micro,45358,36455,4572,2551,73.0,102.0,0,7.39,2024-07-21
ffloyd309,Facebook,Story,Beauty,Japan,Nano,7779,4785,1998,89,2.0,6.0,0,1.23,2023-10-03
merickson312,TikTok,Reel,Tech,USA,Nano,5521,5220,2030,503,34.0,7.0,3028,9.58,2023-05-19
duranalvin322,Instagram,Reel,Beauty,Mexico,Micro,53193,9021,4879,3759,237.0,254.0,0,7.33,2024-05-05
danielle84185,YouTube,Reel,Beauty,Germany,Macro,763646,24021,3228,17165,1331.0,462.0,128954,2.26,2024-07-12
jordanmartinez158,Facebook,Video,Education,Brazil,Micro,48185,44204,3361,4482,120.0,310.0,0,7.76,2024-11-05
kimberly12609,Twitter,Reel,Food,Australia,Mega,9040224,35728,3436,231466,,17277.0,0,2.44,2024-07-03
carneyjulie572,Instagram,Video,Travel,France,Nano,1725,981,2726,189,15.0,10.0,0,10.59,2024-06-15
matthewwells119,Facebook,Live,Sports,Brazil,Micro,61266,22707,1244,4331,380.0,252.0,0,7.23,2023-03-29
xlambert870,YouTube,Carousel,Fitness,France,Micro,37114,21000,3716,1379,75.0,23.0,16084,3.67,2023-01-24
jonesdonald443,TikTok,Live,Food,UK,Mega,5092180,15294,3795,37015,2783.0,1227.0,300429,0.72,2024-11-04
paul75202,Twitter,Video,Sports,Brazil,Micro,66302,37937,522,3421,309.0,83.0,0,5.53,2023-11-30
darrell76723,Twitter,Video,Fitness,Australia,Micro,93769,22901,945,4679,275.0,175.0,0,5.62,2024-11-20
davidgutierrez499,TikTok,Story,Sports,USA,Micro,51049,25558,4194,613,30.0,13.0,6939,1.56,2023-07-10
cummingsdeborah987,Facebook,Live,Tech,Canada,Nano,5732,3041,449,342,17.0,14.0,0,7.61,2024-01-29
younggregory551,Facebook,Story,Education,Japan,Micro,64477,2122,4641,1437,92.0,31.0,0,1.98,2023-08-19
jamesrodgers560,TikTok,Image,Education,Mexico,Macro,903124,24142,4459,21884,1555.0,1096.0,136001,2.43,2024-03-27
ehill648,YouTube,Reel,Food,Brazil,Nano,1528,585,971,128,7.0,8.0,1058,8.66,2024-09-16
gregoryjones587,Twitter,Image,Sports,UK,Macro,953047,39215,2312,24977,647.0,863.0,0,3.18,2023-10-24
christyevans403,TikTok,Story,Food,UK,Mega,7905438,16462,1097,21761,2594.0,1538.0,98417,0.22,2024-11-23
mayjudith466,Twitter,Image,Sports,Germany,Micro,59174,26501,772,3390,282.0,242.0,0,5.9,2024-01-13
maryford507,Twitter,Carousel,Sports,India,Macro,988319,4250,2944,32775,3051.0,1379.0,0,2.91,2023-08-05
kbrandt952,TikTok,Carousel,Fitness,France,Micro,27117,1605,406,826,56.0,28.0,9243,2.93,2023-05-08
jonesandrea926,YouTube,Reel,Education,India,Mega,8177281,18058,1312,44330,3939.0,852.0,478762,0.66,2024-11-11
michele459,YouTube,Video,Gaming,Germany,Macro,891918,5207,3916,31335,2680.0,1856.0,94413,4.18,2023-01-10
ntorres694,TikTok,Video,Gaming,UK,Micro,40008,9086,2461,2354,219.0,40.0,15913,6.33,2024-10-18
alexandercobb144,YouTube,Video,Music,Mexico,Nano,3688,2623,3382,371,34.0,20.0,1786,10.46,2023-04-13
emily15869,Instagram,Story,Gaming,France,Mega,6276495,36367,2042,81836,3664.0,4511.0,0,1.11,2023-01-28
courtneyjohnson911,TikTok,Image,Music,Mexico,Micro,61347,25389,4064,1372,34.0,99.0,19833,2.55,2024-06-24
vthomas945,Instagram,Carousel,Beauty,UK,Micro,84498,4883,3868,2366,,52.0,0,2.94,2023-02-10
amyprince944,Instagram,Reel,Music,Germany,Micro,75673,35335,4405,3617,225.0,138.0,0,4.12,2024-06-07
rphelps119,YouTube,Image,Music,France,Micro,93138,47938,3593,2264,192.0,124.0,15218,2.1,2024-03-20
dawnbrown171,Twitter,Story,Sports,India,Micro,96252,10836,102,2952,94.0,175.0,0,2.68,2023-09-23
cookeelizabeth880,TikTok,Image,Fitness,USA,Macro,130782,41225,4733,2003,126.0,93.0,12329,1.7,2024-05-26
yyoung373,Facebook,Image,Beauty,UK,Nano,2685,110,4178,78,6.0,1.0,0,2.35,2024-04-28
erikacarrillo924,Twitter,Image,Tech,India,Micro,95944,17877,2630,2602,135.0,101.0,0,2.85,2024-11-20
simsryan578,Instagram,Image,Travel,Canada,Mega,7726402,21549,2555,76182,5066.0,2267.0,0,1.33,2023-10-26
kimberly63239,TikTok,Live,Sports,Brazil,Micro,87554,49938,4487,4370,523.0,281.0,51520,3.89,2023-01-25
shawn26729,Facebook,Carousel,Fashion,France,Nano,7164,2051,4350,514,47.0,8.0,0,5.94,2023-05-26
washingtonjonathon582,TikTok,Video,Fashion,Brazil,Macro,645007,6363,4767,22436,2458.0,944.0,268666,3.67,2024-08-29
robert73799,Instagram,Reel,Tech,Brazil,Nano,6161,2705,2682,562,33.0,38.0,0,7.27,2023-05-20
dominiquebishop827,Facebook,Video,Tech,USA,Nano,8635,7504,1710,769,24.0,26.0,0,10.03,2023-06-11
jorge84876,TikTok,Live,Sports,India,Nano,6370,5647,411,395,35.0,30.0,3063,7.87,2024-02-19
crystal5287,Twitter,Story,Music,Brazil,Nano,2669,635,1830,116,3.0,1.0,0,3.7,2024-10-22
jessica1452,Facebook,Story,Fitness,USA,Nano,2056,1953,763,61,5.0,4.0,0,3.66,2024-04-17
stewartandrea663,YouTube,Story,Gaming,Japan,Micro,60165,29329,2302,66,2.0,1.0,346,0.1,2023-09-09
velazquezwillie801,TikTok,Reel,Gaming,Canada,Micro,21497,8264,4317,897,30.0,21.0,12213,4.81,2024-01-27
jessica57543,TikTok,Reel,Music,Australia,Micro,84141,2020,1804,5527,325.0,124.0,37730,6.56,2024-04-28
loretta92181,TikTok,Story,Travel,UK,Nano,4951,4816,1807,128,13.0,9.0,469,3.02,2023-06-27
floresnichole239,YouTube,Story,Beauty,France,Mega,1473227,32358,1552,19175,1057.0,953.0,90222,1.16,2023-02-27
jenny05793,Facebook,Image,Fashion,Canada,Micro,53481,21306,1463,4856,194.0,92.0,0,7.26,2023-05-26
rachel80665,Instagram,Story,Beauty,USA,Micro,96787,10422,1127,2122,63.0,66.0,0,2.34,2024-05-13
albert19401,TikTok,Image,Music,Mexico,Macro,334081,8445,2422,10283,1043.0,,121421,2.8,2024-08-09
zachary56652,Facebook,Video,Tech,Mexico,Micro,90134,21803,1162,5808,444.0,438.0,0,7.74,2023-06-21
bbaker906,Instagram,Live,Beauty,Australia,Nano,4435,110,895,300,8.0,8.0,0,7.98,2023-06-20
yle327,Twitter,Reel,Gaming,France,Micro,23294,5429,1857,1550,153.0,78.0,0,5.56,2023-01-21
heidi86966,TikTok,Video,Food,France,Nano,7151,4966,2778,598,16.0,45.0,8812,10.51,2024-03-17
padillakaren586,YouTube,Story,Gaming,UK,Nano,6424,2273,4434,77,3.0,4.0,898,1.47,2024-02-07
shawalison485,Facebook,Reel,Tech,India,Micro,66047,13185,3944,2813,288.0,151.0,0,5.66,2023-03-25
glenn05270,Instagram,Carousel,Gaming,Australia,Micro,96643,25098,3049,2805,236.0,104.0,0,3.38,2024-04-21
joshuasanchez989,YouTube,Carousel,Sports,India,Nano,2584,1031,4841,113,6.0,5.0,1655,5.86,2024-03-04
bturner151,Facebook,Live,Education,Mexico,Macro,599397,33005,294,28882,1717.0,2015.0,0,5.48,2024-09-27
hmeyer328,Instagram,Reel,Tech,UK,Mega,4233407,13332,3576,3283,204.0,259.0,0,0.1,2023-09-22
jamiehoffman154,Instagram,Video,Gaming,Canada,Micro,52746,46002,111,4751,341.0,352.0,0,7.42,2024-02-29
imalone624,YouTube,Story,Sports,Mexico,Macro,205071,22635,4397,257,19.0,4.0,1653,0.1,2024-08-08
briancantu21,Twitter,Video,Tech,Germany,Micro,91034,45353,2725,5847,522.0,74.0,0,6.03,2024-01-17
richard08453,TikTok,Carousel,Fitness,Germany,Macro,999924,21128,3639,38781,1156.0,2746.0,178882,3.47,2023-07-12
eileen65198,YouTube,Reel,Education,Canada,Macro,960899,8989,3314,23407,2320.0,341.0,269527,3.32,2023-06-27
lauren54984,YouTube,Video,Travel,India,Micro,57235,44741,1024,3412,,230.0,30917,5.31,2023-07-01
jasmine26663,Twitter,Story,Music,France,Micro,43903,3353,3176,398,35.0,11.0,0,0.79,2023-08-15
stevensjames825,YouTube,Live,Travel,Germany,Micro,77276,42526,1093,3174,311.0,202.0,9860,5.77,2024-09-14
