username,platform,content_type,category,country,influencer_tier,followers,following,posts,avg_likes,avg_comments,avg_shares,avg_views,engagement_rate,date_joined,engagement_quality,follower_category
hannahbautista886,TikTok,Carousel,Food,UK,Micro,74942,5871,3735,3068,351,205,29456,4.69,2024-02-18,High,Micro
orozcojustin902,Facebook,Video,Music,Australia,Micro,34586,3482,3631,2741,225,123,0,7.84,2024-03-24,Viral,Micro
davisdonald664,Twitter,Video,Fashion,Mexico,Macro,844261,14825,773,31681,2378,1541,0,4.72,2023-05-01,High,Macro
samantha07283,YouTube,Reel,Fitness,Canada,Macro,535673,12591,3152,14344,1692,388,137920,2.23,2023-03-13,Medium,Macro
hopkinschad387,Twitter,Carousel,Music,Germany,Macro,396578,9838,4021,8061,836,407,0,1.79,2024-07-10,Medium,Macro
angela10508,Twitter,Carousel,Travel,Brazil,Micro,40613,25084,3884,2148,131,69,0,4.36,2023-06-05,High,Micro
samanthacarroll77,Instagram,Image,Music,Mexico,Micro,23154,602,3753,1080,69,50,0,3.81,2023-06-08,High,Micro
sylvia98894,Twitter,Carousel,Beauty,Mexico,Micro,95175,25004,4381,2406,127,137,0,3.38,2024-05-14,High,Micro
haleykevin926,Facebook,Video,Sports,USA,Nano,5708,5291,816,695,65,28,0,9.38,2023-11-03,Viral,Nano
whitejason247,Instagram,Video,Beauty,India,Nano,7141,1492,1485,566,25,21,0,8.27,2024-11-30,Viral,Nano
jimmy80602,Twitter,Story,Tech,Brazil,Micro,43289,18950,3821,88,7,6,0,0.21,2023-12-20,Low,Micro
ellisjeremy406,TikTok,Live,Gaming,Germany,Micro,49599,23624,4695,2410,140,105,14089,5.93,2024-11-05,High,Micro
cochranlogan698,TikTok,Video,Sports,India,Mega,9333700,14452,2896,424391,46807,27289,2445095,3.79,2024-11-06,High,Mega
jmiller544,YouTube,Live,Food,India,Micro,67779,49086,2686,2371,133,45,32993,4.86,2024-01-10,High,Micro
madisonlee742,Facebook,Carousel,Tech,Germany,Mega,9084065,30792,953,290787,14398,20624,0,2.5,2024-11-23,Medium,Mega
lisa61240,Twitter,Story,Beauty,USA,Macro,114594,38409,2157,1308,42,46,0,1.33,2024-11-22,Medium,Macro
rhondafranklin505,Twitter,Video,Sports,Canada,Micro,89964,42648,2485,4368,114,295,0,5.83,2023-11-08,High,Micro
barbaramurphy102,Instagram,Video,Travel,Canada,Nano,8432,6966,4435,780,89,45,0,10.03,2024-11-01,Viral,Nano
gstephens368,Twitter,Story,Gaming,Germany,Nano,7070,913,2981,249,16,6,0,4.25,2024-10-22,High,Nano
lkemp211,Instagram,Reel,Fitness,Brazil,Mega,8628891,3414,184,123782,5101,6778,0,1.9,2024-08-01,Medium,Mega
laura95818,Instagram,Story,Travel,Mexico,Nano,4817,2371,33,184,6,13,0,4.28,2023-09-14,High,Nano
gjenkins526,YouTube,Video,Fashion,UK,Nano,4898,4409,3458,333,7,9,1505,6.46,2024-01-06,Viral,Nano
jhardin437,Facebook,Video,Education,Canada,Nano,1710,1038,2480,205,22,11,0,10.59,2024-02-16,Viral,Nano
pateljohn465,Instagram,Reel,Education,USA,Macro,437758,36037,4805,15571,413,455,0,3.34,2023-10-29,High,Macro
achoi409,Facebook,Story,Gaming,USA,Macro,219971,28285,1771,1439,122,91,0,0.54,2024-04-09,Low,Macro
edward13832,Twitter,Live,Food,France,Micro,97177,4499,3895,4194,483,243,0,5.06,2024-01-17,High,Micro
seanjones592,YouTube,Story,Fashion,Mexico,Mega,6530541,47355,3474,7196,439,512,102856,0.1,2023-04-17,Low,Mega
ksimmons629,Facebook,Image,Tech,Australia,Nano,2773,2451,2292,90,6,1,0,3.58,2024-09-28,High,Nano
murphydeborah759,Facebook,Video,Sports,Germany,Nano,5477,1586,60,616,31,20,0,10.03,2023-05-26,Viral,Nano
xgraham51,Instagram,Video,Music,Brazil,Micro,69460,39174,4659,5258,299,318,0,8.37,2024-09-24,Viral,Micro
cwheeler684,Instagram,Carousel,Education,Japan,Micro,67939,28274,2837,2152,89,98,0,3.34,2024-06-23,High,Micro
katie23133,TikTok,Video,Travel,Japan,Mega,1919088,19069,2103,16091,806,0,74771,1.19,2023-06-29,Medium,Mega
whitetiffany440,Twitter,Story,Travel,Canada,Micro,97562,28688,356,1212,0,85,0,1.05,2024-08-12,Medium,Micro
pdixon411,Facebook,Reel,Gaming,Germany,Nano,1341,841,3779,167,6,12,0,9.74,2024-08-26,Viral,Nano
jlee835,Facebook,Video,Gaming,Germany,Macro,332335,34873,944,11932,439,545,0,3.99,2024-10-22,High,Macro
christopherstrong659,YouTube,Image,Food,UK,Nano,3842,2000,4057,130,12,7,666,3.2,2024-08-01,High,Nano
patricia00378,Facebook,Carousel,Beauty,UK,Micro,71462,23164,470,3159,158,92,0,4.58,2023-02-28,High,Micro
alexandra32981,TikTok,Video,Food,Mexico,Micro,60394,37564,3694,3967,299,259,54548,6.72,2023-06-04,Viral,Micro
glewis397,Instagram,Reel,Food,France,Mega,2414808,28897,3596,75305,2805,2058,0,3.11,2023-10-17,High,Mega
dmccarthy895,Twitter,Carousel,Sports,India,Macro,778748,18721,3176,9259,490,454,0,1.32,2024-09-09,Medium,Macro
chelseaburgess687,YouTube,Carousel,Food,Mexico,Micro,55851,20388,704,1766,151,99,8030,3.57,2023-05-11,High,Micro
mendezeric520,Facebook,Video,Gaming,Canada,Micro,57526,12683,3993,3121,359,105,0,6.13,2023-04-14,Viral,Micro
bmartinez993,Facebook,Live,Music,India,Micro,91006,47363,1366,2260,130,48,0,3.19,2023-09-01,High,Micro
hdiaz797,Twitter,Story,Fitness,Australia,Nano,4918,3113,1599,120,12,5,0,2.76,2023-10-16,Medium,Nano
bennetttammy292,Twitter,Story,Music,Japan,Mega,4350371,24427,3946,43662,1477,1200,0,0.85,2023-05-08,Low,Mega
richardfarmer242,Instagram,Image,Fitness,Australia,Mega,3472100,23010,3705,36207,1056,2669,0,0.87,2024-01-18,Low,Mega
byrdkristen778,Twitter,Video,Beauty,Brazil,Nano,2623,256,1137,294,24,19,0,9.32,2023-05-23,Viral,Nano
jessegregory49,Twitter,Reel,Sports,India,Mega,1318832,34688,4997,2814,291,136,0,0.25,2023-05-05,Low,Mega
joelpennington192,YouTube,Reel,Sports,Australia,Nano,9189,4872,1186,791,17,36,4669,8.14,2024-03-02,Viral,Nano
andrea27366,Instagram,Story,Beauty,USA,Mega,9511546,2953,3861,14489,1025,165,0,0.13,2023-01-17,Low,Mega
melissa98647,Instagram,Carousel,Travel,USA,Macro,870899,42226,2783,12060,402,418,0,1.2,2024-05-05,Medium,Macro
burgesskimberly196,YouTube,Image,Food,Australia,Nano,4302,3362,4232,114,4,1,1618,3.65,2024-10-24,High,Nano
jenna38274,TikTok,Carousel,Fashion,France,Nano,7029,1630,2787,422,25,17,6109,6.24,2024-06-15,Viral,Nano
ashley05360,Instagram,Live,Gaming,USA,Micro,33652,20186,2431,2492,129,38,0,7.21,2024-03-30,Viral,Micro
tfuentes147,Twitter,Video,Beauty,Mexico,Mega,5606274,23909,3337,143987,14275,2017,0,2.37,2023-02-01,Medium,Mega
emilypreston455,Facebook,Live,Education,India,Nano,4866,365,4656,426,24,15,0,7.51,2024-01-16,Viral,Nano
cruzsteven721,Instagram,Story,Tech,Canada,Micro,51207,32805,1534,870,39,15,0,1.56,2023-09-24,Medium,Micro
sydney49684,Twitter,Image,Sports,Germany,Micro,74382,46851,1424,207,6,3,0,0.34,2023-11-24,Low,Micro
petersonscott810,TikTok,Live,Food,Canada,Micro,49315,33441,2971,2937,267,220,31286,4.92,2023-08-31,High,Micro
davidwilliams421,Twitter,Video,Beauty,Canada,Micro,71263,4408,716,5619,422,296,0,6.67,2024-06-22,Viral,Micro
miguelbrown933,Twitter,Story,Food,UK,Mega,2244282,42029,4526,76192,6705,2599,0,3.5,2024-05-29,High,Mega
madison56282,Instagram,Video,Music,UK,Micro,31229,29424,4260,1777,161,60,0,6.37,2024-07-18,Viral,Micro
kyle5984,YouTube,Live,Fitness,Mexico,Micro,75873,22226,4967,4369,345,221,22082,5.31,2023-01-30,High,Micro
traceyjames305,Instagram,Live,Sports,Germany,Micro,84991,19083,4479,3964,332,177,0,4.91,2024-02-20,High,Micro
ericashaw528,Twitter,Video,Fashion,UK,Micro,73471,48216,2625,3738,201,74,0,5.2,2024-01-15,High,Micro
xvelasquez957,Facebook,Video,Beauty,Brazil,Micro,45058,40429,3156,3482,118,47,0,7.97,2023-12-02,Viral,Micro
nicholas32221,Facebook,Live,Beauty,Brazil,Macro,622469,1618,4084,29077,1938,2080,0,3.6,2023-09-04,High,Macro
jgraham53,Facebook,Carousel,Fashion,India,Nano,8710,4433,1107,509,10,8,0,6.71,2024-02-15,Viral,Nano
aconner572,Facebook,Story,Travel,France,Micro,19637,4316,983,102,6,4,0,0.56,2023-12-14,Low,Micro
trevor94327,TikTok,Image,Travel,Mexico,Micro,75546,30049,4264,2363,56,141,29886,4.32,2024-09-19,High,Micro
lindadavis816,YouTube,Reel,Sports,Germany,Micro,76494,24240,146,3900,285,232,25730,4.26,2023-11-12,High,Micro
robert58196,Instagram,Story,Education,Germany,Mega,4817541,9784,3124,67673,5302,1484,0,1.24,2023-04-23,Medium,Mega
mark80539,Instagram,Reel,Beauty,Japan,Nano,4340,1231,520,462,45,34,0,11.27,2024-05-04,Viral,Nano
rmeyer231,Twitter,Carousel,Tech,Australia,Mega,6743294,40081,2175,7623,667,539,0,0.11,2023-11-02,Low,Mega
benjamin00978,TikTok,Carousel,Travel,Australia,Micro,55718,44443,4707,1893,214,114,12216,3.28,2023-12-20,High,Micro
smclaughlin631,YouTube,Carousel,Fashion,Germany,Mega,2325893,35396,1665,29983,1926,838,262319,1.42,2023-04-22,Medium,Mega
gregory57952,Facebook,Image,Travel,India,Micro,79604,47112,2715,1356,58,23,0,2.04,2024-07-17,Medium,Micro
sanchezjuan428,YouTube,Reel,Education,Australia,Micro,47649,15318,4713,1735,146,127,7067,4.08,2023-06-29,High,Micro
ebony57872,YouTube,Video,Gaming,Australia,Nano,5742,2431,2754,681,14,33,2919,9.68,2023-05-18,Viral,Nano
tammyromero180,Facebook,Reel,Fitness,Brazil,Macro,446747,1023,1535,7018,462,196,0,1.97,2023-07-17,Medium,Macro
mbrown772,Facebook,Live,Gaming,Japan,Micro,21368,10703,3921,1109,32,0,0,5.52,2024-04-02,High,Micro
gavinthompson707,TikTok,Carousel,Fitness,Mexico,Macro,111991,20206,3822,1017,56,26,11200,1.06,2023-11-15,Medium,Macro
rachelsnyder822,Instagram,Live,Fitness,France,Micro,38721,24585,4972,3360,227,140,0,6.81,2024-07-04,Viral,Micro
alexander35453,YouTube,Image,Sports,USA,Micro,79228,33227,4496,1511,42,74,5652,1.7,2024-06-16,Medium,Micro
amberkemp741,Instagram,Live,Travel,Mexico,Micro,76895,30036,3413,3391,86,65,0,4.56,2023-11-12,High,Micro
lisa57294,Instagram,Reel,Fitness,India,Macro,706403,4048,4443,22173,1382,1308,0,4.22,2023-02-02,High,Macro
mberg122,Twitter,Image,Tech,Japan,Micro,60132,44843,667,675,75,24,0,1.16,2023-12-23,Medium,Micro
zblack159,YouTube,Story,Gaming,Canada,Nano,4648,3574,4470,149,14,11,1274,2.67,2023-12-21,Medium,Nano
catherine97251,TikTok,Image,Food,India,Macro,539605,6712,561,17362,1972,1254,102227,3.01,2023-02-19,High,Macro
woodthomas310,Instagram,Reel,Education,Brazil,Micro,17398,10549,4729,547,65,14,0,4.01,2023-08-31,High,Micro
yolandagutierrez391,YouTube,Live,Music,Brazil,Micro,46064,36528,3509,1754,201,125,24448,5.17,2024-11-18,High,Micro
jgonzalez576,Facebook,Carousel,Gaming,Japan,Nano,7167,2563,1856,352,25,9,0,6.07,2023-03-01,Viral,Nano
fmorrison387,Twitter,Reel,Music,Canada,Nano,4978,3139,3694,406,21,6,0,9.58,2023-10-02,Viral,Nano
schmidtjulia937,Facebook,Story,Fashion,USA,Nano,4555,1835,135,41,4,1,0,0.92,2024-05-05,Low,Nano
hudsonjohn823,YouTube,Live,Sports,Brazil,Micro,41369,20312,2953,1437,140,52,13513,3.37,2023-04-11,High,Micro
margaretsmith201,Twitter,Carousel,Travel,France,Micro,15992,9165,2146,761,32,15,0,4.59,2023-06-06,High,Micro
monica44174,TikTok,Image,Gaming,Mexico,Macro,623555,47519,4012,11565,1322,388,140634,1.8,2023-12-27,Medium,Macro
youngamy70,YouTube,Live,Music,Australia,Nano,9882,894,618,959,110,44,12533,7.5,2023-08-25,Viral,Nano
maldonadotimothy740,YouTube,Video,Travel,,Micro,17923,615,4006,1347,0,71,11851,7.02,2024-06-26,Viral,Micro
mosleydeborah274,TikTok,Story,Fitness,India,Micro,98346,9858,4305,782,89,17,10960,0.83,2023-12-29,Low,Micro
amyzavala653,Twitter,Video,Beauty,Japan,Micro,41877,2176,670,3728,158,215,0,6.88,2023-02-27,Viral,Micro
madison36487,Instagram,Live,Tech,USA,Micro,66873,34713,791,3852,204,302,0,5.3,2024-08-03,High,Micro
yfranklin307,TikTok,Video,Food,Germany,Macro,690882,38571,1707,20725,786,1441,66069,2.74,2023-03-20,Medium,Macro
darlene26859,YouTube,Story,Travel,Mexico,Macro,508060,32919,652,17647,1306,650,209592,3.14,2023-08-26,High,Macro
ulevine697,Instagram,Carousel,Sports,Mexico,Mega,7655572,32252,3700,182456,9604,9923,0,1.86,2023-07-10,Medium,Mega
emoreno370,Facebook,Live,Gaming,USA,Macro,409727,25003,1273,6134,560,96,0,1.27,2023-11-21,Medium,Macro
katieparker96,Instagram,Video,Fashion,Germany,Micro,45358,36455,4572,2551,73,102,0,7.39,2024-07-21,Viral,Micro
ffloyd309,Facebook,Story,Beauty,Japan,Nano,7779,4785,1998,89,2,6,0,1.23,2023-10-03,Medium,Nano
merickson312,TikTok,Reel,Tech,USA,Nano,5521,5220,2030,503,34,7,3028,9.58,2023-05-19,Viral,Nano
duranalvin322,Instagram,Reel,Beauty,Mexico,Micro,53193,9021,4879,3759,237,254,0,7.33,2024-05-05,Viral,Micro
danielle84185,YouTube,Reel,Beauty,Germany,Macro,763646,24021,3228,17165,1331,462,128954,2.26,2024-07-12,Medium,Macro
jordanmartinez158,Facebook,Video,Education,Brazil,Micro,48185,44204,3361,4482,120,310,0,7.76,2024-11-05,Viral,Micro
kimberly12609,Twitter,Reel,Food,Australia,Mega,9040224,35728,3436,231466,0,17277,0,2.44,2024-07-03,Medium,Mega
carneyjulie572,Instagram,Video,Travel,France,Nano,1725,981,2726,189,15,10,0,10.59,2024-06-15,Viral,Nano
matthewwells119,Facebook,Live,Sports,Brazil,Micro,61266,22707,1244,4331,380,252,0,7.23,2023-03-29,Viral,Micro
xlambert870,YouTube,Carousel,Fitness,France,Micro,37114,21000,3716,1379,75,23,16084,3.67,2023-01-24,High,Micro
jonesdonald443,TikTok,Live,Food,UK,Mega,5092180,15294,3795,37015,2783,1227,300429,0.72,2024-11-04,Low,Mega
paul75202,Twitter,Video,Sports,Brazil,Micro,66302,37937,522,3421,309,83,0,5.53,2023-11-30,High,Micro
darrell76723,Twitter,Video,Fitness,Australia,Micro,93769,22901,945,4679,275,175,0,5.62,2024-11-20,High,Micro
davidgutierrez499,TikTok,Story,Sports,USA,Micro,51049,25558,4194,613,30,13,6939,1.56,2023-07-10,Medium,Micro
cummingsdeborah987,Facebook,Live,Tech,Canada,Nano,5732,3041,449,342,17,14,0,7.61,2024-01-29,Viral,Nano
younggregory551,Facebook,Story,Education,Japan,Micro,64477,2122,4641,1437,92,31,0,1.98,2023-08-19,Medium,Micro
jamesrodgers560,TikTok,Image,Education,Mexico,Macro,903124,24142,4459,21884,1555,1096,136001,2.43,2024-03-27,Medium,Macro
ehill648,YouTube,Reel,Food,Brazil,Nano,1528,585,971,128,7,8,1058,8.66,2024-09-16,Viral,Nano
gregoryjones587,Twitter,Image,Sports,UK,Macro,953047,39215,2312,24977,647,863,0,3.18,2023-10-24,High,Macro
christyevans403,TikTok,Story,Food,UK,Mega,7905438,16462,1097,21761,2594,1538,98417,0.22,2024-11-23,Low,Mega
mayjudith466,Twitter,Image,Sports,Germany,Micro,59174,26501,772,3390,282,242,0,5.9,2024-01-13,High,Micro
maryford507,Twitter,Carousel,Sports,India,Macro,988319,4250,2944,32775,3051,1379,0,2.91,2023-08-05,Medium,Macro
kbrandt952,TikTok,Carousel,Fitness,France,Micro,27117,1605,406,826,56,28,9243,2.93,2023-05-08,Medium,Micro
jonesandrea926,YouTube,Reel,Education,India,Mega,8177281,18058,1312,44330,3939,852,478762,0.66,2024-11-11,Low,Mega
michele459,YouTube,Video,Gaming,Germany,Macro,891918,5207,3916,31335,2680,1856,94413,4.18,2023-01-10,High,Macro
ntorres694,TikTok,Video,Gaming,UK,Micro,40008,9086,2461,2354,219,40,15913,6.33,2024-10-18,Viral,Micro
alexandercobb144,YouTube,Video,Music,Mexico,Nano,3688,2623,3382,371,34,20,1786,10.46,2023-04-13,Viral,Nano
emily15869,Instagram,Story,Gaming,France,Mega,6276495,36367,2042,81836,3664,4511,0,1.11,2023-01-28,Medium,Mega
courtneyjohnson911,TikTok,Image,Music,Mexico,Micro,61347,25389,4064,1372,34,99,19833,2.55,2024-06-24,Medium,Micro
vthomas945,Instagram,Carousel,Beauty,UK,Micro,84498,4883,3868,2366,0,52,0,2.94,2023-02-10,Medium,Micro
amyprince944,Instagram,Reel,Music,Germany,Micro,75673,35335,4405,3617,225,138,0,4.12,2024-06-07,High,Micro
rphelps119,YouTube,Image,Music,France,Micro,93138,47938,3593,2264,192,124,15218,2.1,2024-03-20,Medium,Micro
dawnbrown171,Twitter,Story,Sports,India,Micro,96252,10836,102,2952,94,175,0,2.68,2023-09-23,Medium,Micro
cookeelizabeth880,TikTok,Image,Fitness,USA,Macro,130782,41225,4733,2003,126,93,12329,1.7,2024-05-26,Medium,Macro
yyoung373,Facebook,Image,Beauty,UK,Nano,2685,110,4178,78,6,1,0,2.35,2024-04-28,Medium,Nano
erikacarrillo924,Twitter,Image,Tech,India,Micro,95944,17877,2630,2602,135,101,0,2.85,2024-11-20,Medium,Micro
simsryan578,Instagram,Image,Travel,Canada,Mega,7726402,21549,2555,76182,5066,2267,0,1.33,2023-10-26,Medium,Mega
kimberly63239,TikTok,Live,Sports,Brazil,Micro,87554,49938,4487,4370,523,281,51520,3.89,2023-01-25,High,Micro
shawn26729,Facebook,Carousel,Fashion,France,Nano,7164,2051,4350,514,47,8,0,5.94,2023-05-26,High,Nano
washingtonjonathon582,TikTok,Video,Fashion,Brazil,Macro,645007,6363,4767,22436,2458,944,268666,3.67,2024-08-29,High,Macro
robert73799,Instagram,Reel,Tech,Brazil,Nano,6161,2705,2682,562,33,38,0,7.27,2023-05-20,Viral,Nano
dominiquebishop827,Facebook,Video,Tech,USA,Nano,8635,7504,1710,769,24,26,0,10.03,2023-06-11,Viral,Nano
jorge84876,TikTok,Live,Sports,India,Nano,6370,5647,411,395,35,30,3063,7.87,2024-02-19,Viral,Nano
crystal5287,Twitter,Story,Music,Brazil,Nano,2669,635,1830,116,3,1,0,3.7,2024-10-22,High,Nano
jessica1452,Facebook,Story,Fitness,USA,Nano,2056,1953,763,61,5,4,0,3.66,2024-04-17,High,Nano
stewartandrea663,YouTube,Story,Gaming,Japan,Micro,60165,29329,2302,66,2,1,346,0.1,2023-09-09,Low,Micro
velazquezwillie801,TikTok,Reel,Gaming,Canada,Micro,21497,8264,4317,897,30,21,12213,4.81,2024-01-27,High,Micro
jessica57543,TikTok,Reel,Music,Australia,Micro,84141,2020,1804,5527,325,124,37730,6.56,2024-04-28,Viral,Micro
loretta92181,TikTok,Story,Travel,UK,Nano,4951,4816,1807,128,13,9,469,3.02,2023-06-27,High,Nano
floresnichole239,YouTube,Story,Beauty,France,Mega,1473227,32358,1552,19175,1057,953,90222,1.16,2023-02-27,Medium,Mega
jenny05793,Facebook,Image,Fashion,Canada,Micro,53481,21306,1463,4856,194,92,0,7.26,2023-05-26,Viral,Micro
rachel80665,Instagram,Story,Beauty,USA,Micro,96787,10422,1127,2122,63,66,0,2.34,2024-05-13,Medium,Micro
albert19401,TikTok,Image,Music,Mexico,Macro,334081,8445,2422,10283,1043,0,121421,2.8,2024-08-09,Medium,Macro
zachary56652,Facebook,Video,Tech,Mexico,Micro,90134,21803,1162,5808,444,438,0,7.74,2023-06-21,Viral,Micro
bbaker906,Instagram,Live,Beauty,Australia,Nano,4435,110,895,300,8,8,0,7.98,2023-06-20,Viral,Nano
yle327,Twitter,Reel,Gaming,France,Micro,23294,5429,1857,1550,153,78,0,5.56,2023-01-21,High,Micro
heidi86966,TikTok,Video,Food,France,Nano,7151,4966,2778,598,16,45,8812,10.51,2024-03-17,Viral,Nano
padillakaren586,YouTube,Story,Gaming,UK,Nano,6424,2273,4434,77,3,4,898,1.47,2024-02-07,Medium,Nano
shawalison485,Facebook,Reel,Tech,India,Micro,66047,13185,3944,2813,288,151,0,5.66,2023-03-25,High,Micro
